condition,PrecA_mean,PrecA_std,PrecA_n,CovA_mean,CovA_std,CovA_n,NRR_A_mean,NRR_A_std,NRR_A_n,WriteCov_mean,WriteCov_std,WriteCov_n,WrongWrite_mean,WrongWrite_std,WrongWrite_n,SrcRecN_mean,SrcRecN_std,SrcRecN_n,MassRecN_mean,MassRecN_std,MassRecN_n,DamageMass_mean,DamageMass_std,DamageMass_n,SourceDrift_mean,SourceDrift_std,SourceDrift_n,AUCDrift_mean,AUCDrift_std,AUCDrift_n,PromoteCov_mean,PromoteCov_std,PromoteCov_n,CumWrongPromote_mean,CumWrongPromote_std,CumWrongPromote_n
FREDIS_V2_PSS,0.9162503333333333,0.0011681964256446374,3,0.8729866666666667,0.0013861537512924607,3,0.640348,0.0034273430914728373,3,4e-05,2.8284271247461902e-05,3,0.0,0.0,2,0.181847,0.0006589946889012009,3,0.176607,0.0007792834315360896,3,0.0024103333333333333,6.940861297818564e-05,3,0.39359700000000003,0.003932630247896006,3,0.30791199999999996,0.004982410460811106,3,,,0,,,0
IRNet_V2_PSS,0.9168426666666667,0.0005991684979109801,3,0.8728866666666666,0.0016129751668543626,3,0.641251,0.003750283455953675,3,6.6666666666666675e-06,9.428090415820634e-06,3,0.0,0.0,1,0.17272233333333334,0.0016029714768377903,3,0.0862,0.0007565531486066699,3,0.0012596666666666667,3.461534662865907e-05,3,0.06452666666666666,0.0008343593683512866,3,0.05021433333333333,0.0004488075558880674,3,,,0,,,0
PALS_SARI_V2_PSS,0.9246993333333333,0.0009802371595123876,3,0.8807266666666668,0.0008068594810883721,3,0.6467226666666667,0.0054040494281809015,3,6.6666666666666675e-06,9.428090415820634e-06,3,0.0,0.0,1,0.105267,0.003045612034824309,3,0.0526,0.0015145958756931375,3,0.0005053333333333333,2.8581268146968032e-05,3,0.03651,0.0007849840762716146,3,0.022479,0.00046520174834867713,3,,,0,,,0
UPLLRS_V2_PSS,0.921135,0.0020365629542606085,3,0.88402,0.002523700985985963,3,0.647084,0.0045834985182354885,3,0.0,0.0,3,,,0,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.029306666666666665,0.0015841155962309772,3,0.333506,0.02094295615873429,3
PiCOPlus_V2_PSS,0.6062363333333334,0.006300395825307789,3,0.9745266666666667,0.00010873004286867164,3,0.5891536666666667,0.007748333770703342,3,1.0,0.0,3,0.4016733333333333,0.00639846509372019,3,1.0,0.0,3,0.151872,0.0027428929982775438,3,0.10681433333333333,0.00040399779977398447,3,1.7873220000000003,0.0004653221106573387,3,1.6865876666666668,0.0005429802533752905,3,,,0,,,0
